,FF,MM,MF,FM
0,0.736307933860271,0.7290603290603506,0.7317685149762672,0.7473978922579085
3,0.6870583899779139,0.6779792786738948,0.6820033165905182,0.6993778062529827
6,0.6274715273610407,0.6184464915596208,0.6216899088401063,0.6420611882594678
9,0.5651428589627583,0.5557027368967719,0.5565250109657941,0.5790433887389127
12,0.5023662882069975,0.4923869902053998,0.49251506073826246,0.5168940769975373
15,0.4489332696166583,0.4364312054843805,0.4351871462250143,0.4606858032582442
18,0.40171851718028595,0.3905786044610734,0.38771957504422433,0.41201119864520386
21,0.3650035592075578,0.3512783839807681,0.34877112247486736,0.372782972599603
24,0.3349705886844107,0.3214270860648988,0.32031665812317917,0.3405119405073078
27,0.3119391894153283,0.30033839297461123,0.29849407335809547,0.3155582095727417
30,0.29580991562286973,0.2851285067298423,0.28291514136972173,0.2993733146393204
