,FF,MM,MF,FM
0,0.0033067087740029743,0.0034092295314333597,0.00337334707958019,0.004110236716728887
3,0.004325625966333912,0.003851307002183346,0.002609719525533359,0.00502862790866085
6,0.003659339819401416,0.003645757888149577,0.0025004488919010293,0.004142747666538603
9,0.004618078021691758,0.002791748725223123,0.003109214133519188,0.0042911912062846775
12,0.003797592277632971,0.002815139081847909,0.0021812215341868563,0.0038237323138445513
15,0.003518272561620042,0.002953825844472825,0.0024242333586207824,0.003845514025313674
18,0.0026660931330749734,0.0021738144389776095,0.0023334142478969523,0.003119939805000677
21,0.0024770261406694533,0.0022589750012426504,0.0021049079548046234,0.0029464196335314435
24,0.002807939281579854,0.0012999217573150617,0.0016574194906104063,0.002614403829789069
27,0.0020836566352409906,0.002167247721801853,0.0017117406403463966,0.0028175806295229907
30,0.00155319770935392,0.0014308429253675143,0.001833017164118735,0.002099798092208344
