,FF,MM,MF,FM
0,0.7353763659826996,0.726163802681769,0.7336539962293056,0.7457521322774462
3,0.681646501385034,0.6805102518726818,0.6836768916886059,0.69911471796522
6,0.6298575203731404,0.6205954027607098,0.617001937432137,0.6388406995163652
9,0.5668247242099943,0.553421905717452,0.5551063352354306,0.5811583142586192
12,0.502304874154015,0.4874726920203752,0.494013130716508,0.5172161352283049
15,0.4475223636601871,0.4372913457151633,0.43348086994592916,0.459130137267962
18,0.4015289720068066,0.3927105873404996,0.3912163538118814,0.41289824054293417
21,0.37124623001912643,0.34512807186798933,0.3496751769976671,0.3720407370098208
24,0.33197011555084116,0.32310545879464087,0.3213936623330388,0.33884828527568084
27,0.3113115023913903,0.30130137637232435,0.2981474162091447,0.31336196575495556
30,0.294130618664077,0.2851064733460623,0.2836665780660141,0.3001432755394526
